id;doc_type;pmid;pmcid;doi;sentence;batch_name;vocabulary;sentence_id;relation_type;human_annotated;classifier_score;relation_id;entity1_end_index;entity1_start_index;entity1_ne_type;entity1_entity;entity2_end_index;entity2_start_index;entity2_ne_type;entity2_entity;initial_review_completed;nlp_status;out_of_scope;non_mammalian;status_update_time;status_update_uid;status_update_uname;possible_reference;already_exists;incorrect_relationship;submit_for_ke;ke_update_time;ke_update_uid;ke_update_uname;;;
11;f;0;PMC4094762;;Consequently, the pudendal nerve is a major contributor to afferent regulation of bladder function (Peters 2010).;joe_annotated_pmc_oai;nerve_ganglia_vocab;466;functional-connectivity;TRUE;1;469;32;18;structure;pudendal nerve;89;82;structure;bladder;yes;NULL;NULL;NULL;1659733459;53;Maryann Martone;NULL;1;NULL;no;1659733378;53;Maryann Martone;;;
12;f;0;PMC4094762;;Due to the large number of afferent fibres, the pudendal nerve is an attractive target for neuromodulation therapy for patients affected by bladder dysfunctions such as overactive bladder or urinary incontinence (Le and Kim 2011).;joe_annotated_pmc_oai;nerve_ganglia_vocab;470;general-connectivity;TRUE;1;473;62;48;structure;pudendal nerve;147;140;structure;bladder;yes;NULL;NULL;NULL;1661274581;36111;Vicky Guo;NULL;1;NULL;no;1659733555;53;Maryann Martone;;;
13;f;0;PMC6432657;;"In crustaceans, mechanisms of central pattern generation have been studied using the cardiac ganglion (CG), which produces heart movements, and the stomatogastric ganglion (STG), which generates the rhythmic movements of the stomach (Cooke, 2002; Maynard, 1972).";joe_annotated_pmc_oai;nerve_ganglia_vocab;478;functional-connectivity;TRUE;1;483;101;85;structure;cardiac ganglion;128;123;structure;heart;NULL;NULL;NULL;yes;1659733574;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
14;f;0;PMC6432657;;"In crustaceans, mechanisms of central pattern generation have been studied using the cardiac ganglion (CG), which produces heart movements, and the stomatogastric ganglion (STG), which generates the rhythmic movements of the stomach (Cooke, 2002; Maynard, 1972).";joe_annotated_pmc_oai;nerve_ganglia_vocab;478;functional-connectivity;TRUE;1;484;171;148;structure;stomatogastric ganglion;232;225;structure;stomach;NULL;NULL;NULL;yes;1659815430;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
15;f;0;PMC7277618;;After reaching the nasal cavity, a drug loaded inside nanocarriers can be transported along the olfactory bulb (olfactory pathway) and the trigeminal nerve (trigeminal pathway) directly to the CNS [11?13].;joe_annotated_pmc_oai;nerve_ganglia_vocab;488;anatomical-connectivity;TRUE;1;491;110;96;structure;olfactory bulb;155;139;structure;trigeminal nerve;yes;NULL;NULL;NULL;1660076176;247;Jeffrey Grethe;NULL;1;NULL;no;1659815470;53;Maryann Martone;;;
16;f;0;PMC2990232;;Electrical stimulation of the cervical vagus nerve evokes neurogenic inflammation in the trachea and bronchi of rats.;joe_annotated_pmc_oai;nerve_ganglia_vocab;495;functional-connectivity;TRUE;1;499;50;39;structure;vagus nerve;108;101;structure;bronchi;yes;NULL;yes;no;1660076909;36111;Vicky Guo;NULL;1;NULL;no;1659815982;53;Maryann Martone;;;
17;f;0;PMC2990232;;Electrical stimulation of the cervical vagus nerve evokes neurogenic inflammation in the trachea and bronchi of rats.;joe_annotated_pmc_oai;nerve_ganglia_vocab;495;functional-connectivity;TRUE;1;500;50;39;structure;vagus nerve;96;89;structure;trachea;NULL;NULL;yes;NULL;1660077577;36111;Vicky Guo;NULL;1;NULL;no;1659815996;53;Maryann Martone;;;
18;f;0;PMC3863518;;Human nodose ganglion from the vagus nerve expressing GHS-R1A are likely to be involved in the ghrelin-induced signal transmission from the stomach to the brain [202, 203].;joe_annotated_pmc_oai;nerve_ganglia_vocab;505;general-connectivity;TRUE;1;510;42;31;structure;vagus nerve;147;140;structure;stomach;yes;NULL;NULL;NULL;1660079094;36111;Vicky Guo;NULL;1;NULL;no;1659816901;53;Maryann Martone;;;
19;f;0;PMC3863518;;Human nodose ganglion from the vagus nerve expressing GHS-R1A are likely to be involved in the ghrelin-induced signal transmission from the stomach to the brain [202, 203].;joe_annotated_pmc_oai;nerve_ganglia_vocab;505;general-connectivity;TRUE;1;511;21;6;structure;nodose ganglion;147;140;structure;stomach;yes;NULL;NULL;NULL;1659816951;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
20;f;0;PMC3863518;;Human nodose ganglion from the vagus nerve expressing GHS-R1A are likely to be involved in the ghrelin-induced signal transmission from the stomach to the brain [202, 203].;joe_annotated_pmc_oai;nerve_ganglia_vocab;505;general-connectivity;TRUE;1;512;21;6;structure;nodose ganglion;160;155;structure;brain;yes;NULL;NULL;NULL;1659816954;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
21;f;0;PMC3863518;;Human nodose ganglion from the vagus nerve expressing GHS-R1A are likely to be involved in the ghrelin-induced signal transmission from the stomach to the brain [202, 203].;joe_annotated_pmc_oai;nerve_ganglia_vocab;505;general-connectivity;TRUE;1;513;42;31;structure;vagus nerve;160;155;structure;brain;yes;NULL;NULL;NULL;1659816956;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
22;f;0;PMC3863518;;Human nodose ganglion from the vagus nerve expressing GHS-R1A are likely to be involved in the ghrelin-induced signal transmission from the stomach to the brain [202, 203].;joe_annotated_pmc_oai;nerve_ganglia_vocab;505;functional-connectivity;TRUE;1;514;147;140;structure;stomach;160;155;structure;brain;yes;NULL;NULL;NULL;1659816958;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
23;f;0;PMC3863518;;Human nodose ganglion from the vagus nerve expressing GHS-R1A are likely to be involved in the ghrelin-induced signal transmission from the stomach to the brain [202, 203].;joe_annotated_pmc_oai;nerve_ganglia_vocab;505;structural-connectivity;TRUE;1;515;21;6;structure;nodose ganglion;42;31;structure;vagus nerve;yes;NULL;NULL;NULL;1659816979;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
24;f;0;PMC5116438;;Five dogs had a large porto-caval connection between the left gastric vein and the post hepatic segment of caudal vena cava at the phrenic vein level.;joe_annotated_pmc_oai;nerve_ganglia_vocab;519;general-connectivity;TRUE;1;522;74;57;structure;left gastric vein;123;107;structure;caudal vena cava;yes;yes;NULL;NULL;1659818082;53;Maryann Martone;NULL;NULL;1;NULL;NULL;NULL;NULL;;;
25;f;0;PMC5116438;;A splenophrenic PSS (arrowheads) connects splenic vein (sv) and caudal vena cava (CVC) at level of insertion of phrenic vein (empty arrows).;joe_annotated_pmc_oai;nerve_ganglia_vocab;523;anatomical-connectivity;TRUE;1;526;54;42;structure;splenic vein;80;64;structure;caudal vena cava;yes;yes;NULL;NULL;1659818078;53;Maryann Martone;NULL;NULL;1;NULL;NULL;NULL;NULL;;;
26;f;0;PMC5677392;;19The sciatic nerve is formed by the fourth and fifth lumbar nerve roots and the first two sacral nerve roots.;joe_annotated_pmc_oai;nerve_ganglia_vocab;530;anatomical-connectivity;TRUE;1;533;19;6;structure;sciatic nerve;103;91;structure;sacral nerve;NULL;NULL;yes;NULL;1661286585;36111;Vicky Guo;NULL;0;NULL;no;1661286585;36111;Vicky Guo;;;
27;f;0;PMC6413753;;It has been hypothesized that ziconotide can also exert some action centrally in regions of the cerebrospinal fluid aqueduct, eg, the caudate nucleus of the trigeminal nerve, with resultant relief of trigeminal neuralgia.;joe_annotated_pmc_oai;nerve_ganglia_vocab;536;anatomical-connectivity;TRUE;1;539;124;116;structure;aqueduct;173;157;structure;trigeminal nerve;NULL;yes;NULL;NULL;1659818063;53;Maryann Martone;NULL;NULL;1;no;1659817129;53;Maryann Martone;;;
28;f;0;PMC6200434;;The axons of preganglionic neurons pass through anterior roots of the spinal cord, ascend in connectives of the sympathetic chain, and synapse with postganglionic neurons in the superior cervical sympathetic ganglion.;joe_annotated_pmc_oai;nerve_ganglia_vocab;542;anatomical-connectivity;TRUE;1;545;81;70;structure;spinal cord;216;178;structure;superior cervical sympathetic ganglion;yes;NULL;NULL;NULL;1666633722;36111;Vicky Guo;NULL;0;NULL;yes;1659817308;53;Maryann Martone;;;
29;f;0;PMC6324919;;55 There is a reflex connection from the trigeminal nucleus to the superior salivatory nucleus, which projects via sphenopalatine ganglion.;joe_annotated_pmc_oai;nerve_ganglia_vocab;548;functional-connectivity;TRUE;1;552;59;41;structure;trigeminal nucleus;94;67;structure;superior salivatory nucleus;yes;yes;no;no;1661285741;36111;Vicky Guo;NULL;0;NULL;no;1661285741;36111;Vicky Guo;;;
30;f;0;PMC6324919;;55 There is a reflex connection from the trigeminal nucleus to the superior salivatory nucleus, which projects via sphenopalatine ganglion.;joe_annotated_pmc_oai;nerve_ganglia_vocab;548;anatomical-connectivity;TRUE;1;553;59;41;structure;trigeminal nucleus;138;115;structure;sphenopalatine ganglion;yes;yes;no;no;1661285741;36111;Vicky Guo;NULL;NULL;0;no;1661285741;36111;Vicky Guo;;;
31;f;0;PMC6324919;;55 There is a reflex connection from the trigeminal nucleus to the superior salivatory nucleus, which projects via sphenopalatine ganglion.;joe_annotated_pmc_oai;nerve_ganglia_vocab;548;anatomical-connectivity;TRUE;1;554;94;67;structure;superior salivatory nucleus;138;115;structure;sphenopalatine ganglion;yes;yes;no;no;1661285741;36111;Vicky Guo;NULL;0;NULL;no;1661285741;36111;Vicky Guo;;;
32;f;0;PMC7478366;;The superior cerebellar artery (white arrow) passing through the trigeminal nerve (C).;joe_annotated_pmc_oai;nerve_ganglia_vocab;557;topological-connectivity;TRUE;1;560;30;4;structure;superior cerebellar artery;81;65;structure;trigeminal nerve;NULL;yes;NULL;NULL;1659818047;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
33;f;0;PMC5042193;;Administration of an additional 6 cm3 of the injection along the proximal clitoral nerve through the urogenital diaphragm eliminated mechanical allodynia and pelvic pressure sensitivity.;joe_annotated_pmc_oai;nerve_ganglia_vocab;563;anatomical-connectivity;TRUE;1;566;88;74;structure;clitoral nerve;121;112;structure;diaphragm;NULL;yes;NULL;NULL;1659818130;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
34;f;0;PMC6690851;;The posterior part of the styloid process is adjacent to the internal carotid artery and internal jugular vein, and the glossopharyngeal nerve is located on the superficial surface of the internal carotid artery and vein.;joe_annotated_pmc_oai;nerve_ganglia_vocab;571;topological-connectivity;TRUE;1;577;142;120;structure;glossopharyngeal nerve;211;188;structure;internal carotid artery;yes;yes;no;yes;1666633749;36111;Vicky Guo;NULL;NULL;NULL;no;1666633748;36111;Vicky Guo;;;
35;f;0;PMC6690851;;The posterior part of the styloid process is adjacent to the internal carotid artery and internal jugular vein, and the glossopharyngeal nerve is located on the superficial surface of the internal carotid artery and vein.;joe_annotated_pmc_oai;nerve_ganglia_vocab;571;topological-connectivity;TRUE;1;578;41;26;structure;styloid process;84;61;structure;internal carotid artery;yes;NULL;no;yes;1666633749;36111;Vicky Guo;NULL;NULL;NULL;no;1666633748;36111;Vicky Guo;;;
36;f;0;PMC6690851;;The posterior part of the styloid process is adjacent to the internal carotid artery and internal jugular vein, and the glossopharyngeal nerve is located on the superficial surface of the internal carotid artery and vein.;joe_annotated_pmc_oai;nerve_ganglia_vocab;571;topological-connectivity;TRUE;1;579;41;26;structure;styloid process;110;89;structure;internal jugular vein;yes;NULL;no;yes;1666633749;36111;Vicky Guo;NULL;NULL;NULL;no;1666633748;36111;Vicky Guo;;;
37;f;0;PMC5859913;;28 This nerve is termed ?trigeminal? due to its three main branches: the ophthalmic nerve (V1), the maxillary nerve (V2), and the mandibular nerve (V3).;joe_annotated_pmc_oai;nerve_ganglia_vocab;582;structural-connectivity;TRUE;1;587;35;25;structure;trigeminal;89;73;structure;ophthalmic nerve;yes;yes;yes;NULL;1666635603;36111;Vicky Guo;NULL;NULL;NULL;no;1666635603;36111;Vicky Guo;;;
38;f;0;PMC5859913;;28 This nerve is termed ?trigeminal? due to its three main branches: the ophthalmic nerve (V1), the maxillary nerve (V2), and the mandibular nerve (V3).;joe_annotated_pmc_oai;nerve_ganglia_vocab;582;structural-connectivity;TRUE;1;588;35;25;structure;trigeminal;146;130;structure;mandibular nerve;yes;NULL;yes;NULL;1666635603;36111;Vicky Guo;NULL;NULL;NULL;no;1666635603;36111;Vicky Guo;;;
39;f;0;PMC5859913;;28 This nerve is termed ?trigeminal? due to its three main branches: the ophthalmic nerve (V1), the maxillary nerve (V2), and the mandibular nerve (V3).;joe_annotated_pmc_oai;nerve_ganglia_vocab;582;structural-connectivity;TRUE;1;589;35;25;structure;trigeminal;115;100;structure;maxillary nerve;yes;NULL;yes;NULL;1666635603;36111;Vicky Guo;NULL;NULL;NULL;no;1666635603;36111;Vicky Guo;;;
40;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;605;81;74;structure;bladder;209;201;structure;pudendal;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;1;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
41;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;structural-connectivity;TRUE;1;606;168;137;structure;lumbosacral dorsal root ganglia;182;176;structure;pelvic;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
42;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;functional-connectivity;TRUE;1;607;209;201;structure;pudendal;279;272;structure;bladder;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
43;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;608;113;106;structure;urethra;182;176;structure;pelvic;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
44;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;609;132;121;structure;spinal cord;182;176;structure;pelvic;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
45;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;structural-connectivity;TRUE;1;610;168;137;structure;lumbosacral dorsal root ganglia;195;184;structure;hypogastric;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
46;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;611;81;74;structure;bladder;195;184;structure;hypogastric;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
47;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;612;81;74;structure;bladder;182;176;structure;pelvic;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
48;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;613;132;121;structure;spinal cord;168;137;structure;lumbosacral dorsal root ganglia;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
49;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;614;113;106;structure;urethra;209;201;structure;pudendal;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
50;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;615;132;121;structure;spinal cord;209;201;structure;pudendal;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
51;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;616;132;121;structure;spinal cord;195;184;structure;hypogastric;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
52;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;617;81;74;structure;bladder;168;137;structure;lumbosacral dorsal root ganglia;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
53;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;618;113;106;structure;urethra;195;184;structure;hypogastric;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
54;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;structural-connectivity;TRUE;1;619;168;137;structure;lumbosacral dorsal root ganglia;209;201;structure;pudendal;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
55;f;0;PMC5032886;;The sensory fibers that innervate the lower urinary tract extend from the bladder wall, bladder neck, and urethra to the spinal cord via lumbosacral dorsal root ganglia of the pelvic, hypogastric, and pudendal nerves and convey sensory information regarding the degree of bladder distension.;joe_annotated_pmc_oai;nerve_ganglia_vocab;596;anatomical-connectivity;TRUE;1;620;113;106;structure;urethra;168;137;structure;lumbosacral dorsal root ganglia;yes;NULL;NULL;NULL;1666635654;36111;Vicky Guo;NULL;NULL;NULL;yes;1666635672;36111;Vicky Guo;;;
56;f;0;PMC4858078;;In addition, in human medicine, the junction of the right atrium and auricle forms a vertical crest known as the crista terminalis.;joe_annotated_pmc_oai;nerve_ganglia_vocab;624;anatomical-connectivity;TRUE;1;627;64;52;structure;right atrium;130;120;structure;terminalis;NULL;yes;NULL;NULL;1659818617;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
57;f;0;PMC4199465;;Injection of the right internal iliac artery revealed a pseudoaneurysm approximately 2 centimeters in diameter with venous filling during the early arterial phase, located at the distal portion of the right internal pudendal artery suggesting AVF (Figure 1A, 1B).;joe_annotated_pmc_oai;nerve_ganglia_vocab;630;anatomical-connectivity;TRUE;1;633;44;17;structure;right internal iliac artery;224;216;structure;pudendal;NULL;yes;NULL;NULL;1659818626;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
58;f;0;PMC7016359;;According to Ishibashi et al. [41], the CSA of tibial nerve in patients with type 2 diabetes mellitus increased with the severity of neuropathy.;joe_annotated_pmc_oai;nerve_ganglia_vocab;636;anatomical-connectivity;TRUE;1;639;43;40;structure;CSA;59;47;structure;tibial nerve;NULL;yes;NULL;NULL;1659818634;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
59;f;0;PMC5894064;;Contrast-enhanced T1-weighted images showed meningeal enhancement in the left precentral gyrus, geniculate ganglion, and tympanic segment of the left facial nerve.;joe_annotated_pmc_oai;nerve_ganglia_vocab;642;structural-connectivity;TRUE;1;645;129;121;structure;tympanic;162;145;structure;left facial nerve;NULL;yes;NULL;NULL;1659818639;53;Maryann Martone;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;
60;f;0;PMC4491910;;"Figure 3A?AJ: Time course of the appearance (A?AF) and quantification (AG?AJ) of galanin- and CGRP-immunoreactive sprouts in the facial motor nucleus, 1?42 days after facial nerve axotomy; day 0 are uninjured controls.";joe_annotated_pmc_oai;nerve_ganglia_vocab;649;anatomical-connectivity;TRUE;1;652;149;129;structure;facial motor nucleus;179;167;structure;facial nerve;yes;NULL;NULL;NULL;1659818713;53;Maryann Martone;NULL;1;NULL;no;1659818710;53;Maryann Martone;;;
