o;o_label;o_synonym
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;ninth cranial nerve inferior ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;inferior glossopharyngeal ganglion of the glossopharyngeal (IX) nerve
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;inferior glossopharyngeal ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;inferior ganglion of glossopharyngeal nerve
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;glossopharyngeal nerve petrous ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;glossopharyngeal nerve inferior ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;glossopharyngeal IX inferior ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;glossopharyngeal inferior ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;ganglion petrosum
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;ganglion of andersch
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;ganglion inferius nervus glossopharyngei
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;ganglion inferius nervi glossopharyngei
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;ganglion inferius (nervus glossopharygeus)
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;extracraniale ganglion
http://purl.obolibrary.org/obo/UBERON_0005360;inferior glossopharyngeal IX ganglion;petrosal ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;vagus X inferior ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;vagus nerve nodose ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;vagus nerve inferior ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;tenth cranial nerve nodose ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;nodose ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;nodose ganglia
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;inferior vagus X
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;inferior vagus ganglion
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;inferior ganglion of vagus nerve
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;inferior ganglion of vagus
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;ganglion nodosum
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;ganglion inferius nervus vagi
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;ganglion inferius nervi vagi
http://purl.obolibrary.org/obo/UBERON_0005363;inferior vagus X ganglion;ganglion inferius (nervus vagus)
http://purl.obolibrary.org/obo/UBERON_0005370;hippocampus stratum lacunosum;lacunar layer of hippocampus
http://purl.obolibrary.org/obo/UBERON_0005376;olfactory bulb external plexiform layer;olfactory bulb main external plexiform layer
http://purl.obolibrary.org/obo/UBERON_0005376;olfactory bulb external plexiform layer;OB outer plexiform layer
http://purl.obolibrary.org/obo/UBERON_0005376;olfactory bulb external plexiform layer;external plexiform layer of the olfactory bulb
http://purl.obolibrary.org/obo/UBERON_0005376;olfactory bulb external plexiform layer;external plexiform layer
http://purl.obolibrary.org/obo/UBERON_0005376;olfactory bulb external plexiform layer;EPL
http://purl.obolibrary.org/obo/UBERON_0005378;olfactory bulb granule cell layer;olfactory bulb main granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005378;olfactory bulb granule cell layer;main olfactory bulb, granule layer
http://purl.obolibrary.org/obo/UBERON_0005378;olfactory bulb granule cell layer;main olfactory bulb granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005378;olfactory bulb granule cell layer;granule layer of main olfactory bulb
http://purl.obolibrary.org/obo/UBERON_0005378;olfactory bulb granule cell layer;granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005378;olfactory bulb granule cell layer;accessory olfactory bulb granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005381;dentate gyrus granule cell layer;stratum granulare gyri dentati
http://purl.obolibrary.org/obo/UBERON_0005381;dentate gyrus granule cell layer;granular layer of the dentate gyrus
http://purl.obolibrary.org/obo/UBERON_0005381;dentate gyrus granule cell layer;granular layer of dentate gyrus
http://purl.obolibrary.org/obo/UBERON_0005381;dentate gyrus granule cell layer;DG granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005381;dentate gyrus granule cell layer;dentate gyrus, granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;plexiform layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;plexiform layer
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;neocortex plexiform layer
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;neocortex molecular layer
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;neocortex layer I
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;neocortex layer 1
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;molecular layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;molecular layer of isocortex [layer i]
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;molecular layer of cerebral cortex
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;molecular layer
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;layer I of neocortex
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;layer 1 of neocortex
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;lamina molecularis isocorticis [lamina I]
http://purl.obolibrary.org/obo/UBERON_0005390;cortical layer I;cerebral cortex, layer 1
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;neocortex layer II
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;neocortex layer 2
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;layer II of neocortex
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;lamina granularis externa isocorticis [lamina ii]
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;granule cell layer of cerebral cortex
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granule cell layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granular layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granular layer of isocortex [layer II]
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granular layer of cerebral cortex
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granular layer
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;external granular cell layer
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;EGL
http://purl.obolibrary.org/obo/UBERON_0005391;cortical layer II;cerebral cortex, layer 2
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;pyramidal layer
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;neocortex layer III
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;neocortex layer 3
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;neocortex external pyramidal cell layer
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;layer of medium-sized and large pyramidal cells
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;layer III of neocortex
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;layer 3 of neocortex
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;lamina pyramidalis externa isocorticis [lamina iii]
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;lamina pyramidalis externa
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;isocortex, deep supragranular pyramidal layer
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;external pyramidal layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;external pyramidal layer of isocortex [layer iii]
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;external pyramidal layer of cerebral cortex
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;external pyramidal cell layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;external pyramidal cell layer
http://purl.obolibrary.org/obo/UBERON_0005392;cortical layer III;cerebral cortex, layer 3
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;neocortical layer IV
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;neocortical internal granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;neocortex layer IV
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;neocortex layer 4
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;neocortex internal granule cell layer
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;layer IV of neocortex
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;layer 4 of neocortex
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;lamina granularis interna isocorticis [lamina iv]
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;internal granule cell layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;internal granular layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;internal granular layer of isocortex [layer iv]
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;internal granular layer
http://purl.obolibrary.org/obo/UBERON_0005393;cortical layer IV;cerebral cortex, layer 4
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;neocortical layer V
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;neocortical layer 5
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;neocortex layer V
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;neocortex layer 5
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;neocortex internal pyramidal cell layer
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;layer V of neocortex
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;layer 5 of neocortex
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;lamina pyramidalis interna isocorticis [lamina v]
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;lamina pyramidalis interna
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;lamina ganglionaris
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;isocortex, infragranular pyramidal layer
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;internal pyramidal layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;internal pyramidal layer of isocortex [layer v]
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;internal pyramidal layer
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;internal pyramidal cell layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;inner layer of large pyramidal cells
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;ganglionic layer of cerebral cortex
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;ganglionic layer
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;deep layer of large pyramidal cells
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;cerebral cortex, layer 5
http://purl.obolibrary.org/obo/UBERON_0005394;cortical layer V;betz' cells
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;spindle cell layer
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;pleiomorphic layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;neocortical layer VI
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;neocortical layer 6
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;neocortex multiform layer
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;neocortex layer VI
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;neocortex layer 6
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;multiform layer of neocortex
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;multiform layer of isocortex [layer vi]
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;multiform layer
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;layer VI of neocortex
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;lamina multiformis isocorticis [lamina vi]
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;lamina multiformis
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;isocortex, polymorph layer
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;fusiform layer
http://purl.obolibrary.org/obo/UBERON_0005395;cortical layer VI;cerebral cortex, layer 6
http://purl.obolibrary.org/obo/UBERON_0005453;inferior mesenteric ganglion;ganglion mesentericum inferius
http://purl.obolibrary.org/obo/UBERON_0005479;superior mesenteric ganglion;superior mesenteric ganglia
http://purl.obolibrary.org/obo/UBERON_0005479;superior mesenteric ganglion;ganglion mesentericum superius
http://purl.obolibrary.org/obo/UBERON_0005807;rostral ventrolateral medulla;RVLM
http://purl.obolibrary.org/obo/UBERON_0005807;rostral ventrolateral medulla;medulla pressor
http://purl.obolibrary.org/obo/UBERON_0005843;sacral spinal cord;segmenta sacralia medullae spinalis [1-5]
http://purl.obolibrary.org/obo/UBERON_0005843;sacral spinal cord;sacral segments of spinal cord [1-5]
http://purl.obolibrary.org/obo/UBERON_0005843;sacral spinal cord;sacral segment of spinal cord
http://purl.obolibrary.org/obo/UBERON_0005843;sacral spinal cord;pars sacralis medullae spinalis
http://purl.obolibrary.org/obo/UBERON_0006447;fifth lumbar spinal cord segment;L5 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006447;fifth lumbar spinal cord segment;L5 segment
http://purl.obolibrary.org/obo/UBERON_0006447;fifth lumbar spinal cord segment;fifth lumbar spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006448;first lumbar spinal cord segment;L1 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006448;first lumbar spinal cord segment;L1 segment
http://purl.obolibrary.org/obo/UBERON_0006448;first lumbar spinal cord segment;first lumbar spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006449;third lumbar spinal cord segment;L3 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006449;third lumbar spinal cord segment;L3 segment
http://purl.obolibrary.org/obo/UBERON_0006449;third lumbar spinal cord segment;third lumbar spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006450;second lumbar spinal cord segment;L2 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006450;second lumbar spinal cord segment;l2 segment
http://purl.obolibrary.org/obo/UBERON_0006450;second lumbar spinal cord segment;second lumbar spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006451;fourth lumbar spinal cord segment;L4 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006451;fourth lumbar spinal cord segment;L4 segment
http://purl.obolibrary.org/obo/UBERON_0006452;fourth thoracic spinal cord segment;T4 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006452;fourth thoracic spinal cord segment;T4 segment
http://purl.obolibrary.org/obo/UBERON_0006453;fifth thoracic spinal cord segment;T5 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006453;fifth thoracic spinal cord segment;t5 segment
http://purl.obolibrary.org/obo/UBERON_0006453;fifth thoracic spinal cord segment;fifth thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006454;sixth thoracic spinal cord segment;T6 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006454;sixth thoracic spinal cord segment;t6 segment
http://purl.obolibrary.org/obo/UBERON_0006454;sixth thoracic spinal cord segment;sixth thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006455;seventh thoracic spinal cord segment;T7 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006455;seventh thoracic spinal cord segment;t7 segment
http://purl.obolibrary.org/obo/UBERON_0006455;seventh thoracic spinal cord segment;seventh thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006456;eighth thoracic spinal cord segment;T8 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006456;eighth thoracic spinal cord segment;t8 segment
http://purl.obolibrary.org/obo/UBERON_0006456;eighth thoracic spinal cord segment;eighth thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006457;first thoracic spinal cord segment;T1 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006457;first thoracic spinal cord segment;t1 segment
http://purl.obolibrary.org/obo/UBERON_0006457;first thoracic spinal cord segment;first thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006458;second thoracic spinal cord segment;T2 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006458;second thoracic spinal cord segment;t2 segment
http://purl.obolibrary.org/obo/UBERON_0006458;second thoracic spinal cord segment;second thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006459;third thoracic spinal cord segment;T3 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006459;third thoracic spinal cord segment;t3 segment
http://purl.obolibrary.org/obo/UBERON_0006459;third thoracic spinal cord segment;third thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006460;first sacral spinal cord segment;S1 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006460;first sacral spinal cord segment;S1 segment
http://purl.obolibrary.org/obo/UBERON_0006460;first sacral spinal cord segment;first sacral spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006465;ninth thoracic spinal cord segment;T9 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006465;ninth thoracic spinal cord segment;t9 segment
http://purl.obolibrary.org/obo/UBERON_0006465;ninth thoracic spinal cord segment;ninth thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006466;tenth thoracic spinal cord segment;T10 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006466;tenth thoracic spinal cord segment;t10 segment
http://purl.obolibrary.org/obo/UBERON_0006466;tenth thoracic spinal cord segment;tenth thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006467;eleventh thoracic spinal cord segment;T11 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006467;eleventh thoracic spinal cord segment;t11 segment
http://purl.obolibrary.org/obo/UBERON_0006467;eleventh thoracic spinal cord segment;eleventh thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006468;twelfth thoracic spinal cord segment;T12 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006468;twelfth thoracic spinal cord segment;t12 segment
http://purl.obolibrary.org/obo/UBERON_0006468;twelfth thoracic spinal cord segment;twelfth thoracic spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006469;C1 segment of cervical spinal cord;first cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006469;C1 segment of cervical spinal cord;C1 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006469;C1 segment of cervical spinal cord;C1 segment
http://purl.obolibrary.org/obo/UBERON_0006469;C1 segment of cervical spinal cord;C1 cervical spinal cord
http://purl.obolibrary.org/obo/UBERON_0006470;C8 segment of cervical spinal cord;eighth cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006470;C8 segment of cervical spinal cord;C8 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006470;C8 segment of cervical spinal cord;C8 segment
http://purl.obolibrary.org/obo/UBERON_0006488;C3 segment of cervical spinal cord;third cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006488;C3 segment of cervical spinal cord;C3 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006488;C3 segment of cervical spinal cord;C3 segment
http://purl.obolibrary.org/obo/UBERON_0006489;C2 segment of cervical spinal cord;second cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006489;C2 segment of cervical spinal cord;C2 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006489;C2 segment of cervical spinal cord;C2 segment
http://purl.obolibrary.org/obo/UBERON_0006490;C4 segment of cervical spinal cord;forth cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006490;C4 segment of cervical spinal cord;C4 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006490;C4 segment of cervical spinal cord;C4 segment
http://purl.obolibrary.org/obo/UBERON_0006491;C5 segment of cervical spinal cord;fifth cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006491;C5 segment of cervical spinal cord;C5 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006491;C5 segment of cervical spinal cord;C5 segment
http://purl.obolibrary.org/obo/UBERON_0006492;C6 segment of cervical spinal cord;sixth cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006492;C6 segment of cervical spinal cord;C6 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006492;C6 segment of cervical spinal cord;C6 segment
http://purl.obolibrary.org/obo/UBERON_0006493;C7 segment of cervical spinal cord;seventh cervical spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006493;C7 segment of cervical spinal cord;C7 spinal cord segment
http://purl.obolibrary.org/obo/UBERON_0006493;C7 segment of cervical spinal cord;C7 segment
http://purl.obolibrary.org/obo/UBERON_0006562;pharynx;pharyngeal tube
http://purl.obolibrary.org/obo/UBERON_0006562;pharynx;anterior part of foregut
http://purl.obolibrary.org/obo/UBERON_0007631;accessory olfactory bulb glomerular layer;glomerular layer of the accessory olfactory bulb
http://purl.obolibrary.org/obo/UBERON_0007631;accessory olfactory bulb glomerular layer;AOB, glomerular layer
http://purl.obolibrary.org/obo/UBERON_0007631;accessory olfactory bulb glomerular layer;accessory olfactory bulb, glomerular layer
http://purl.obolibrary.org/obo/UBERON_0007632;Barrington's nucleus;nucleus of Barrington
http://purl.obolibrary.org/obo/UBERON_0007632;Barrington's nucleus;Barrington nucleus
http://purl.obolibrary.org/obo/UBERON_0007634;parabrachial nucleus;parabrachial nuclei
http://purl.obolibrary.org/obo/UBERON_0007634;parabrachial nucleus;parabrachial complex
http://purl.obolibrary.org/obo/UBERON_0007634;parabrachial nucleus;parabrachial area
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;neuraxis alveus
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;alveus of the hippocampus
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;alveus of hippocampus
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;alveus of fornix
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;alveus hippocampi
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;alveus
http://purl.obolibrary.org/obo/UBERON_0007639;hippocampus alveus;CA2 alveus
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;neuraxis alveus
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;alveus of the hippocampus
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;alveus of hippocampus
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;alveus of fornix
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;alveus hippocampi
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;alveus
http://purl.obolibrary.org/obo/UBERON_0007639;Alveus;CA2 alveus
http://purl.obolibrary.org/obo/UBERON_0007711;sixth cervical dorsal root ganglion;sixth cervical spinal ganglion
http://purl.obolibrary.org/obo/UBERON_0007711;sixth cervical dorsal root ganglion;sixth cervical dorsal root ganglia
http://purl.obolibrary.org/obo/UBERON_0007711;sixth cervical dorsal root ganglion;C6 dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0007711;sixth cervical dorsal root ganglion;sixth cervical dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0007712;fourth thoracic spinal ganglion;fourth thoracic dorsal root ganglion
http://purl.obolibrary.org/obo/UBERON_0007769;medial preoptic region;medial preopticarea
http://purl.obolibrary.org/obo/UBERON_0007769;medial preoptic region;medial preoptic area
http://purl.obolibrary.org/obo/UBERON_0008810;nasopalatine nerve;Scarpa's nerve
http://purl.obolibrary.org/obo/UBERON_0008810;nasopalatine nerve;nervus nasopalatinus
http://purl.obolibrary.org/obo/UBERON_0008810;nasopalatine nerve;nasopalatine nerves
http://purl.obolibrary.org/obo/UBERON_0008810;nasopalatine nerve;nasopalatine
http://purl.obolibrary.org/obo/UBERON_0008810;nasopalatine nerve;naso-palatine nerve
http://purl.obolibrary.org/obo/UBERON_0008857;stomach smooth muscle circular layer;stratum circulare tunicae muscularis gastricae
http://purl.obolibrary.org/obo/UBERON_0008857;stomach smooth muscle circular layer;stratum circulare gastris
http://purl.obolibrary.org/obo/UBERON_0008857;stomach smooth muscle circular layer;stratum circulare (tunica muscularis)(gaster)
http://purl.obolibrary.org/obo/UBERON_0008857;stomach smooth muscle circular layer;middle circular muscle layer of stomach
http://purl.obolibrary.org/obo/UBERON_0008857;stomach smooth muscle circular layer;circular muscle layer of stomach
http://purl.obolibrary.org/obo/UBERON_0008857;stomach smooth muscle circular layer;circular layer of gastric muscularis
http://purl.obolibrary.org/obo/UBERON_0008862;stomach smooth muscle inner oblique layer;oblique muscle layer of stomach
http://purl.obolibrary.org/obo/UBERON_0008862;stomach smooth muscle inner oblique layer;oblique fiber layer of gastric muscularis
http://purl.obolibrary.org/obo/UBERON_0008862;stomach smooth muscle inner oblique layer;inner oblique muscle layer of stomach
http://purl.obolibrary.org/obo/UBERON_0008863;stomach smooth muscle outer longitudinal layer;stratum longitudinale tunicae muscularis gastricae
http://purl.obolibrary.org/obo/UBERON_0008863;stomach smooth muscle outer longitudinal layer;stratum longitudinale (tunica muscularis)(gaster)
http://purl.obolibrary.org/obo/UBERON_0008863;stomach smooth muscle outer longitudinal layer;outer longitudinal muscle layer of stomach
http://purl.obolibrary.org/obo/UBERON_0008863;stomach smooth muscle outer longitudinal layer;muscle layer 1 of stomach
http://purl.obolibrary.org/obo/UBERON_0008863;stomach smooth muscle outer longitudinal layer;longitudinal layer of gastric muscularis
http://purl.obolibrary.org/obo/UBERON_0009009;carotid sinus nerve;sinus nerve of Hering
http://purl.obolibrary.org/obo/UBERON_0009009;carotid sinus nerve;ramus sinus carotici nervus glossopharyngei
http://purl.obolibrary.org/obo/UBERON_0009009;carotid sinus nerve;ramus sinus carotici nervi glossopharyngei
http://purl.obolibrary.org/obo/UBERON_0009009;carotid sinus nerve;ramus sinus carotici
http://purl.obolibrary.org/obo/UBERON_0009009;carotid sinus nerve;Hering sinus nerve
http://purl.obolibrary.org/obo/UBERON_0009009;carotid sinus nerve;carotid branch of glossopharyngeal nerve
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;solitary tract nucleus
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;solitary nucleus
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;solitary nuclear complex
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;nucleus tractus solitarii medullae oblongatae
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;nucleus tracti solitarii
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;nucleus solitarius
http://purl.obolibrary.org/obo/UBERON_0009050;nucleus of solitary tract;nucleus of tractus solitarius
