id,parent_comment_id,comment,comment_sender_name,statement_id,reg_time,batch_name
491,0,[Sensory] but some autonomic information in an experimental study in the rat. ,Maryann Martone,1914,2022-12-10 21:08:44,pmc_oai_202111
492,0,This paper has a lot of good references including this one which needs a closer look:  retrograde experimental JCN study in the rat:  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853118/,Maryann Martone,1917,2022-12-10 21:14:26,pmc_oai_202111
564,0,Covers innervation of the head.  Would be good for ASCT+B tables and also has references that may be useful.  We don't have the Edinger-Westphal nucleus connection although check synonyms,Maryann Martone,1538,2023-05-03 21:28:54,pmc_oai_202111
567,0,[Vagus],Maryann Martone,1924,2023-05-03 21:35:28,pmc_oai_202111
568,0,Review of VNS.  Might be worth looking at for references. ,Maryann Martone,1924,2023-05-03 21:35:49,pmc_oai_202111
569,0,"Given the extensive spread of the trigeminal nerve, it is unsurprising that it would intersect and overlap with other cranial nerves (Tubbs et al., 2005; Shoja and Oyesiku, 2014), potentially allowing stimulation of the trigeminal nerve to cross-stimulate these intersecting nerves. One such nerve is the facial nerve, whose parasympathetic branches intersect with the trigeminal nerve at the sphenopalatine ganglion (SPG) and potentially the brainstem (Tubbs et al., 2005; Nturibi and Bordoni, 2020).",Maryann Martone,1930,2023-05-03 21:49:17,pmc_oai_202111
570,0,Look to make sure we have this interaction,Maryann Martone,1930,2023-05-03 21:51:06,pmc_oai_202111
572,0,Dissection of human spleen.  Probably worth looking at.,Maryann Martone,1933,2023-05-03 21:52:41,pmc_oai_202111
577,0,Good diagram in Fig 1 to check against aa model.  Also provides information on asymmetry.  Important to review thoroughly.,Maryann Martone,1954,2023-05-03 22:12:59,pmc_oai_202111
578,0,This reference https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337130/  is about the vagus.  Check Figure 1 and the rest of the article to see if there are connections mentioned we don't have or references we can use. ,Maryann Martone,1982,2023-05-06 21:05:19,pmc_oai_202111
580,0,Physiological study in the heart eLife 2020.  Might be some specific references for Bolser-Lewis.  Take a look.,Maryann Martone,1996,2023-05-06 21:09:22,pmc_oai_202111
581,0,See diagram in Figure 1 and check whether we have these connections.,Maryann Martone,2001,2023-05-06 21:12:58,pmc_oai_202111
584,0,"Clinical paper but had some references on sympathetic aspects of sphenopalantine ganglion which we should look into:  ""The sympathetic fibers projecting to sphenopalatine ganglion arise from upper thoracic spinal cord T1–T2.""",Maryann Martone,2018,2023-05-06 22:30:03,pmc_oai_202111
589,0,"The lacrimal gland is supplied by parasympathetic innervation via the facial nerve (CN VII). Preganglionic fibers originate in the lacrimal nucleus in the pons (a portion of the superior salivatory nucleus), synapse in the pterygopalatine ganglion, and then travel with the lacrimal nerve, the smallest branch of CN V1. In contrast, sympathetic innervation of the lacrimal gland is similar to the salivary glands in that postganglionic fibers originate from the superior cervical ganglion. These fibers travel along the internal carotid artery plexus to the pterygopalatine ganglion, where they join with parasympathetic fibers to the lacrimal gland [18].",Maryann Martone,2066,2023-05-09 08:38:20,pmc_oai_202111
590,0,Check that these connections are all there;  note the carotid artery plexus relationship,Maryann Martone,2066,2023-05-09 08:40:08,pmc_oai_202111
591,0,Review of somatostatin in enteric nervous system.  Good article to read closely.  ,Maryann Martone,2068,2023-05-09 08:44:21,pmc_oai_202111
592,0,Review of VIP in carotid body [Molecular],Maryann Martone,2069,2023-05-09 08:48:37,pmc_oai_202111
595,0,Nice diagrams in human.  May be useful.,Maryann Martone,2088,2023-05-09 09:06:23,pmc_oai_202111
596,0,[Sensory] ,Maryann Martone,1538,2023-05-09 18:56:27,pmc_oai_202111
598,0,Figure 2 gives an overview of cardiac autonomic connectivity.  Take a look and compare it against what we have. ,Maryann Martone,2128,2023-05-09 19:47:01,pmc_oai_202111
600,0,"Not a good primary reference, but we do not have sympathetic innervation of the cornea.  Müller L.J., Marfurt C.F., Kruse F., Tervo T.M. Corneal nerves: Structure, contents and function. Exp. Eye Res. 2003;76:521–542. doi: 10.1016/S0014-4835(03)00050-2  has quite a few references on sympathetic innervation of the cornea, and also possible parasympathetic.  A lot of species differences.",Maryann Martone,2137,2023-05-09 19:54:47,pmc_oai_202111
601,0,"I added this reference to composer already as it has pointers to articles about the sympathetic innervation of the skin, including spinal cord levels that give rise to the pathways.",Maryann Martone,2192,2023-05-10 19:52:46,pmc_oai_202111
602,0,Vagotopy in the pig from SPARC investigators.,Maryann Martone,2198,2023-05-10 19:54:54,pmc_oai_202111
603,0,From SPARC group on pig vagal topology.,Maryann Martone,2199,2023-05-11 11:29:55,pmc_oai_202111
604,0,"Not sure we can get reference 5, but it looks like it provides detailed information from the human so might be worth looking into.  ",Maryann Martone,2219,2023-05-11 11:40:02,pmc_oai_202111
608,0,"Probably worth a read.  Makes a statement about origin of pre-ganglionic sympathetic neurons in the cat:  In the cat, preganglionic neuronal axons, originating from T1-T5, converge on the cranial cervical ganglion in close proximity to the tympanic bulla.   But there is no reference.  Could be added, however.",Maryann Martone,2247,2023-05-13 19:49:29,pmc_oai_202111
609,0,"Take a look.  Several references on presence of sympathetic fibers in the vagus.  Onkka P, Maskoun W, Rhee KS, et al. Sympathetic nerve fibers and ganglia in canine cervical vagus nerves: localization and quantitation. Heart Rhythm. 2013;10:585–591.  and also some for human. ",Maryann Martone,2256,2023-05-13 19:53:46,pmc_oai_202111
613,0,Take a look at figure 1 for human,Maryann Martone,2287,2023-05-13 20:08:24,pmc_oai_202111
616,0,Supplementary data available for download at Elsevier site:  https://www.sciencedirect.com/science/article/pii/S2212877817310530?via%3Dihub#appsec2.  ,Maryann Martone,2314,2023-05-14 09:25:43,pmc_oai_202111
617,0,"Compare to NLP mmset1:12 iBAT.    We have some connections, not others. ",Maryann Martone,2314,2023-05-14 09:27:48,pmc_oai_202111
620,0,See Fig 1 and compare it against Bolser-Lewis and bronchiomotor control models (bolew and bromo),Maryann Martone,2331,2023-05-14 10:06:52,pmc_oai_202111
621,0,"To localize sympathetic neurons innervating the studied area of stomach, the neuronal retrograde tracer Fast Blue (FB) was applied to control animals and hydrochloric acid infusion (HCl) groups.  Experimental study in pig. ",Maryann Martone,2336,2023-05-14 10:09:28,pmc_oai_202111
622,0,I also don't believe that we have sympathetic innervation of the stomach. ,Maryann Martone,2336,2023-05-14 10:11:39,pmc_oai_202111
623,0,"Has some information on laterality of projections and references to experimental studies in the rat:  Lipski J., Zhang X., Kruszewska B., Kanjhan R. Morphological study of long axonal projections of ventral medullary inspiratory neurons in the rat. Brain Research. 1994;640(1-2):171–184. doi: 10.1016/0006-8993(94)91871-6.  that might be used to augment our existing respiratory models with species specific information.",Maryann Martone,2337,2023-05-14 10:13:44,pmc_oai_202111
636,0,Does not give a primary reference for this statement.  But perhaps check against what we have in Bolser-Lewis. ,Maryann Martone,2415,2023-05-15 20:02:46,pmc_oai_202111
637,0,"We do not have a projection from T6-T12 to diaphragm, so perhaps look into the hiccup reflex. ",Maryann Martone,2415,2023-05-15 20:04:42,pmc_oai_202111
643,0,"Using optogenetics and functional mapping, here we show that DMN cholinergic neurons project to the celiac-superior mesenteric ganglia to significantly increase splenic nerve activity and inhibit TNF production.  Take a look at this paper as it has specific experimental information in rats.",Maryann Martone,2451,2023-05-16 19:36:10,pmc_oai_202111
644,0,Check Fig 1 against Bolser Lewis populations,Maryann Martone,2452,2023-05-16 19:37:25,pmc_oai_202111
645,0,Check Fig 1 against Bolser Lewis populations,Maryann Martone,2452,2023-05-16 19:37:25,pmc_oai_202111
646,0,Check Fig 3 against what we have.  Detailed imaging of the facial nerve in humans.,Maryann Martone,2460,2023-05-16 19:44:44,pmc_oai_202111
650,0,TH fibers in the phrenic nerve in humans.  Probably worth looking at although I don't know if we can track down the origin and terminations. ,Maryann Martone,2478,2023-05-17 19:51:47,pmc_oai_202111
651,0,TH fibers in the phrenic nerve in humans.  Probably worth looking at although I don't know if we can track down the origin and terminations. ,Maryann Martone,2478,2023-05-17 19:51:47,pmc_oai_202111
652,0,TH fibers in the phrenic nerve in humans.  Probably worth looking at although I don't know if we can track down the origin and terminations. ,Maryann Martone,2478,2023-05-17 19:51:49,pmc_oai_202111
654,0,take a look at Figure 2.11 and compare against our current models:  Review of the anatomy of the airways.  T,Maryann Martone,2501,2023-05-17 20:01:58,pmc_oai_202111
655,0,Fig 2.2 [Molecular] airways. ,Maryann Martone,2502,2023-05-17 20:02:58,pmc_oai_202111
656,0,Review of pelvic nerves.  See Fig 2 and compare against what we have. ,Maryann Martone,2509,2023-05-17 20:06:51,pmc_oai_202111
