id,pmid,pmcid,doi,sentence,batch_name,sentence_id,out_of_scope
nlp-26-20241028,38020408,PMC10652049,10.4274/tao.2023.2023-4-7,The tympanic segment of the facial nerve showed inferomedial course in both of the cases.,oscapify_template,nlp-26-20241028,no
nlp-27-20241028,38020408,PMC10652049,10.4274/tao.2023.2023-4-7,"In case A, exploratory tympanotomy verified the absence of the oval window and the stapes, dehiscence of the tympanic segment of the facial nerve, and the abnormal inferiomedial position of the facial nerve where the oval window should be on the lateral surface of the otic capsule (Figure 5).",oscapify_template,nlp-27-20241028,no
nlp-28-20241028,36397347,PMC10662795,10.1097/MD.0000000000031704,The Vidian nerve is 10 to 18 mm long and leaves the pterygoid bone at the root of the pterygoid process along the lower wall of the pterygoid sinus and enters the pterygopalatine ganglion in the pterygopalatine fossa.,oscapify_template,nlp-28-20241028,no
nlp-29-20241028,38045989,PMC10692657,10.1016/j.ebr.2023.100633,"Induction or aggravation of sleep apnea is a known side effect of vagus nerve stimulation (VNS) [1], [2], [3], [4], [5] and is considered to be due to innervation of the left recurrent nerve and the superior laryngeal nerve which are both branches of the vagus nerve.",oscapify_template,nlp-29-20241028,no
nlp-30-20241028,38014247,PMC10680764,10.1101/2023.11.14.566855,"Cardiovagal neurons (CVNs) send axonal projections from hindbrain to cardiac ganglia through the vagus nerve to elicit cardioinhibitory (i.e., slowing of heart rate; HR) action at rest and during critical cardiorespiratory homeostatic reflexes.",oscapify_template,nlp-30-20241028,no
nlp-31-20241028,38104122,PMC10725454,10.1038/s41467-023-44065-6,The NeuroRing was implanted by wrapping it around the splanchnic nerve extending from the S3 sacral nerve and secured using biological glue.,oscapify_template,nlp-31-20241028,no
nlp-32-20241028,38104122,PMC10725454,10.1038/s41467-023-44065-6,Implantation of the NeuroRing to rat splanchnic nerve extending from the S3 sacral nerve to treat colitis.,oscapify_template,nlp-32-20241028,no
nlp-33-20241028,38104122,PMC10725454,10.1038/s41467-023-44065-6,"Again, this verified that NeuroRing stimulation of the sacral nerve also activated specific pathways of spinal cord afferent and vagus nerve efferents, synergistically enhancing the anti-inflammatory effect.",oscapify_template,nlp-33-20241028,no
nlp-34-20241028,38111650,PMC10727799,10.1155/2023/6459234,"Under the microscope, the carotid sheath was founded along the side of the trachea, then the vagal nerve was gently peeled off, and the vagal ganglion was separated upward along the vagal nerve and placed in 10% neutral formaldehyde for external fixation (Jingxinbio, China, JX0300).",oscapify_template,nlp-34-20241028,no
nlp-35-20241028,38137549,PMC10741888,10.3390/biomedicines11123328,"The infraorbital nerve is a branch of the second division of the trigeminal nerve, also known as the maxillary nerve.",oscapify_template,nlp-35-20241028,no
nlp-36-20241028,38152300,PMC10751314,10.3389/fmed.2023.1283512,"Here, the pudendal nerve is accompanied by pudendal blood vessels and splits into three branches.",oscapify_template,nlp-36-20241028,no
nlp-37-20241028,38161946,PMC10757753,10.7759/cureus.49741,"The R2 response is a pathway from the spinal tract nucleus of the trigeminal nerve to the ipsilateral and contralateral facial nerve nuclei, including the pons and lateral medulla.",oscapify_template,nlp-37-20241028,no
nlp-38-20241028,38161946,PMC10757753,10.7759/cureus.49741,Tears are secreted by the lacrimal gland after lacrimal nerve stimulation connected to the facial nerve.,oscapify_template,nlp-38-20241028,no
nlp-39-20241028,38173950,PMC10762567,10.7759/cureus.51560,The mastoid segment and tympanic segment of the facial nerve were identified and preserved physiologically on nerve stimulation.,oscapify_template,nlp-39-20241028,no
nlp-40-20241028,38200782,PMC10778003,10.3390/ani14010050,"Vasodilation can be due to fear-induced activation of the parasympathetic nervous system, in this case by the facial nerve (VII pair) through the pterygopalatine ganglion and the subsequent postganglionic fibers [51].",oscapify_template,nlp-40-20241028,no
nlp-41-20241028,38200796,PMC10778493,10.3390/ani14010066,The vagus nerve reaches the nodose ganglion (1) and from there projects into the lateral solitary nucleus (Deiters’ nucleus).,oscapify_template,nlp-41-20241028,no
nlp-42-20241028,38200796,PMC10778493,10.3390/ani14010066,"Sensations associated with the head, such as increased temperature or pain, pass through the trigeminal, facial, glossopharyngeal or vagus nerve to the spinal nucleus of the trigeminal nerve.",oscapify_template,nlp-42-20241028,no
nlp-43-20241028,38079433,PMC10712872,10.1371/journal.pone.0295127,The superior laryngeal nerve originates from the inferior ganglion of the vagus nerve on both sides of the neck and is divided into medial and lateral branches.,oscapify_template,nlp-43-20241028,no
nlp-44-20241028,32522157,PMC10717392,10.1186/s12576-020-00758-x,"However, electrical stimulation of a sub-branch of the trigeminal nerve (the nasociliary nerve, which contains ethmoidal nerve) reportedly increased regional cortical blood flow in anesthetized rats [39].",oscapify_template,nlp-44-20241028,no
nlp-45-20241028,38087375,PMC10717521,10.1186/s42234-023-00128-z,"When the ANS is stimulated, as in TNS, impulses from the splanchnic and vagus nerves converge in the coeliac ganglion, activating the splenic nerve.",oscapify_template,nlp-45-20241028,no
nlp-46-20241028,32513097,PMC10717557,10.1186/s12576-020-00755-0,a Exposing the facial nerve and the stylomastoid foramen. b Running of the facial nerve through the tympanic cavity.,oscapify_template,nlp-46-20241028,no
nlp-47-20241028,38111511,PMC10725996,10.1002/ccr3.8325,"1 The vocal cords are innervated by motor fibers in the vagal nerve, which eventually branches into the recurrent nerve.",oscapify_template,nlp-47-20241028,no
nlp-48-20241028,38168262,PMC10760142,10.1101/2023.12.16.571991,"Cardiovagal axons project through the vagus nerve to synapse on postganglionic parasympathetic neurons in cardiac ganglia (Cheng and Powley, 2000; Cheng et al., 1999).",oscapify_template,nlp-48-20241028,no
nlp-49-20241028,37871904,PMC10710917,10.21053/ceo.2023.01214,"Cryotherapy selectively targets the postganglionic parasympathetic fibers of the Vidian nerve through the posterior nasal nerve, avoiding complications such as dry eye typically associated with Vidian neurectomy [29].",oscapify_template,nlp-49-20241028,no
nlp-50-20241028,37696755,PMC10714086,10.5115/acb.23.084,"The carotid sinus nerve (CSN) originates from the glossopharyngeal nerve and carries afferent fibers from baroreceptors in the carotid sinus to the nucleus tractus solitarius in the brain stem [1, 2] as well as chemoreceptors from the carotid body for regulation of the respiratory rate [2, 3].",oscapify_template,nlp-50-20241028,no
nlp-51-20241028,38226093,PMC10788315,10.7759/cureus.50526,The lingual nerve was located and traced to its origin from the otic ganglion.,oscapify_template,nlp-51-20241028,no
nlp-52-20241028,38229807,PMC10790118,10.7759/cureus.50643,"With tiny salivary glands, fat, and fibrous connective tissue, the nasopalatine canal also houses the nasopalatine nerve, the terminal branch of the descending nasopalatine artery.",oscapify_template,nlp-52-20241028,no
nlp-53-20241028,38229807,PMC10790118,10.7759/cureus.50643,"With tiny salivary glands, fat, and fibrous connective tissue, the nasopalatine canal also houses the nasopalatine nerve, the terminal branch of the descending nasopalatine artery.",oscapify_template,nlp-53-20241028,no
nlp-54-20241028,38201400,PMC10795738,10.3390/diagnostics14010091,"Moreover, the test is used to evaluate both the nerve pathway from the trigeminal nerve to the lacrimal nerve, as well as the function of the lacrimal gland [35].",oscapify_template,nlp-54-20241028,no
nlp-55-20241028,38250479,PMC10798166,10.5334/jbsr.3361,"The tympanic segment of the facial nerve is most commonly supplied by the petrosal artery, which arises from the middle meningeal artery after passing through the foramen spinosum.",oscapify_template,nlp-55-20241028,no
nlp-56-20241028,38250479,PMC10798166,10.5334/jbsr.3361,"Intense contrast enhancement surrounding the tympanic segment of the facial nerve was noted on gadolinium-enhanced spin echo based T1-weighted images, indicating congestion of the venous plexus surrounding the embedded facial nerve (Figure 1B).",oscapify_template,nlp-56-20241028,no
nlp-57-20241028,38250479,PMC10798166,10.5334/jbsr.3361,"In normal physiology, the middle meningeal vein plays an important role in the venous drainage of the tympanic segment of the facial nerve canal.",oscapify_template,nlp-57-20241028,no
nlp-58-20241028,38250479,PMC10798166,10.5334/jbsr.3361,"In our case, we hypothesize that the anomalous middle meningeal vein leads to congestion of the plexus surrounding the tympanic segment of the facial nerve.",oscapify_template,nlp-58-20241028,no
nlp-59-20241028,38274886,PMC10808626,10.3389/fneur.2023.1336348,The R1 and R2 pathways in the blink reflex run from the trigeminal nerve (the fifth cranial nerve) through the trigeminal sensory nucleus and the facial nucleus to the facial nerve (the seventh cranial nerve).,oscapify_template,nlp-59-20241028,no
nlp-60-20241028,38283673,PMC10811179,10.3389/fneur.2023.1233408,"This is because the diaphragm is supplied by the phrenic nerve, which is closely connected with the vagus nerve, the longest nerve in the body that controls many functions in the body (12).",oscapify_template,nlp-60-20241028,no
nlp-61-20241028,38248439,PMC10813289,10.3390/biology13010008,"Some gut microbes directly affect vagal nerve signaling, which stimulates the dorsal motor nucleus of the vagus (DMV) [140].",oscapify_template,nlp-61-20241028,no
nlp-62-20241028,38248286,PMC10813806,10.3390/brainsci14010071,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",oscapify_template,nlp-62-20241028,no
nlp-63-20241028,38248286,PMC10813806,10.3390/brainsci14010071,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",oscapify_template,nlp-63-20241028,no
nlp-64-20241028,38248286,PMC10813806,10.3390/brainsci14010071,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",oscapify_template,nlp-64-20241028,no
nlp-65-20241028,38248286,PMC10813806,10.3390/brainsci14010071,"As a non-invasive use of VNS, tVNS also stimulates the vagus nerve, with a mechanism similar to that of VNS, but which is applied to the vagus nerve of the auricular branch composed of three nerves: the vagus, glossopharyngeal, and facial nerves [160,161].",oscapify_template,nlp-65-20241028,no
nlp-66-20241028,38255927,PMC10815560,10.3390/ijms25020855,The pudendal nerve was identified as lying near the pudendal vein and artery.,oscapify_template,nlp-66-20241028,no
nlp-67-20241028,38255927,PMC10815560,10.3390/ijms25020855,"We described the surgical access to safely target the main sacral spinal nerve from which the pudendal nerve originates, confirming through electrical stimulation the presence of fibers innervating the external urethral sphincter.",oscapify_template,nlp-67-20241028,no
nlp-68-20241028,38278799,PMC10817950,10.1038/s41420-024-01824-8,"According to Braak’s hypothesis, there is growing evidence demonstrating that the vagus nerve is a conduit for the spread of PD pathology from the periphery to the dorsal motor nucleus of the vagus in the brainstem [11].",oscapify_template,nlp-68-20241028,no
nlp-69-20241028,38256389,PMC10818769,10.3390/medicina60010128,"The mechanism of these headaches is considered to be irritation of the trigeminal nerve via the sphenopalatine or nasociliary nerves, which innervate the sphenoid sinus [20].",oscapify_template,nlp-69-20241028,no
nlp-70-20241028,38302773,PMC10834569,10.1007/s00701-024-05964-9,"The three branches of the trigeminal nerve that converge on the Gasserian ganglion are the ophthalmic, maxillary, and mandibular branches.",oscapify_template,nlp-70-20241028,no
nlp-71-20241028,38313837,PMC10834786,10.3389/fendo.2023.1295061,"The vagus nerve is an essential component of the parasympathetic nervous system, with its ascending fibers terminating in four nuclei in the dorsal medulla: the dorsal motor nucleus of the vagus (DMV), solitary nucleus (NTS), trigeminal spinal nucleus, and ambiguous nucleus.",oscapify_template,nlp-71-20241028,no
nlp-72-20241028,38311753,PMC10840289,10.1186/s12893-023-02287-x,"The external laryngeal nerve, which measures on average 6 cm, branches off from the superior laryngeal nerve 2-3 mm behind the greater horn of the hyoid bone.",oscapify_template,nlp-72-20241028,no
nlp-73-20241028,38311753,PMC10840289,10.1186/s12893-023-02287-x,The external laryngeal nerve may originate directly from the VN in a single trunk and independently of the superior laryngeal nerve in 5% of cases [25–27].,oscapify_template,nlp-73-20241028,no
nlp-74-20241028,38336679,PMC10858570,10.1186/s12893-024-02347-w,"The vagus nerve is the tenth cranial nerve and contains mixed afferent (sensory), efferent (motor), and parasympathetic nerve fibers that innervate several major organs, including the liver, lungs, spleen, kidneys, and gut.",oscapify_template,nlp-74-20241028,no
nlp-75-20241028,38247408,PMC10811398,10.9758/cpn.23.1101,"Specifically, cholinergic neurons in the nucleus ambiguus and brainstem dorsal motor nucleus of the vagus project to the heart, liver, and other body organs within efferent vagus nerve fibers.",oscapify_template,nlp-75-20241028,no
nlp-76-20241028,38362459,PMC10867159,10.3389/fsurg.2024.1340720,"Given that the posterior tibial nerve originates from lumbar and sacral nerve ventral branches, a similar response as seen with SNS is anticipated (83).",oscapify_template,nlp-76-20241028,no
nlp-77-20241028,38371367,PMC10870940,10.5334/jbsr.3421,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,oscapify_template,nlp-77-20241028,no
nlp-78-20241028,38371367,PMC10870940,10.5334/jbsr.3421,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,oscapify_template,nlp-78-20241028,no
nlp-79-20241028,38371367,PMC10870940,10.5334/jbsr.3421,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,oscapify_template,nlp-79-20241028,no
nlp-80-20241028,38371367,PMC10870940,10.5334/jbsr.3421,(B) The coronal image shows contact with the tympanic segment of the facial nerve (T) and the malleus (M).,oscapify_template,nlp-80-20241028,no
nlp-81-20241028,38371367,PMC10870940,10.5334/jbsr.3421,The mass was medially in contact with the tympanic segment of the facial nerve canal and laterally with the malleus (Figure 1).,oscapify_template,nlp-81-20241028,no
nlp-82-20241028,38379760,PMC10877721,10.3389/fnins.2024.1308663,The facial nerve was identified emanating from the stylomastoid foramen and followed anteriorly as it coursed over the lateral surface of the tympanic bulla toward the parotid gland.,oscapify_template,nlp-82-20241028,no
nlp-83-20241028,38390594,PMC10883079,10.3389/fneur.2024.1344862,"Moreover, the efferent pathways of the vagus nerve have a profound anti-inflammatory effect, mediated by vagus nerve-mediated cholinergic signaling (103, 104).",oscapify_template,nlp-83-20241028,no
nlp-84-20241028,38377729,PMC10884764,10.1016/j.bjorl.2023.101374,"15, 19 The chorda tympani nerve arises from the most distal mastoid segment and crosses the tympanic cavity to join the lingual nerve, providing taste function to the anterior two-thirds of the tongue, in addition to carrying parasympathetic fibers to the submandibular and sublingual glands.",oscapify_template,nlp-84-20241028,no
nlp-85-20241028,38377729,PMC10884764,10.1016/j.bjorl.2023.101374,"15, 19 The chorda tympani nerve arises from the most distal mastoid segment and crosses the tympanic cavity to join the lingual nerve, providing taste function to the anterior two-thirds of the tongue, in addition to carrying parasympathetic fibers to the submandibular and sublingual glands.",oscapify_template,nlp-85-20241028,no
nlp-86-20241028,38377729,PMC10884764,10.1016/j.bjorl.2023.101374,"Figure 3The tympanic or horizontal segment is the second segment of the facial nerve, with an average of 7 mm in length, and is located between the first and second genu.",oscapify_template,nlp-86-20241028,no
nlp-87-20241028,38392336,PMC10886357,10.3390/biology13020118,"The recurrent laryngeal nerve, another division of the vagus nerve, provides motor innervation to the remaining intrinsic laryngeal muscles, excluding the cricothyroid muscle, and sensory innervation to the upper trachea and lower glottis [5].",oscapify_template,nlp-87-20241028,no
nlp-88-20241028,38398078,PMC10886922,10.3390/cancers16040687,"Is the lingual nerve, which originates from the third branch of the trigeminal nerve and is above a “certain size”, a “name nerve” or not?",oscapify_template,nlp-88-20241028,no
nlp-89-20241028,38419106,PMC10900670,10.1186/s13020-024-00900-6,"Notably, the ophthalmic branch of the trigeminal nerve, specifically the nasociliary nerve, covers the nasal mucosa, including the olfactory epithelium area.",oscapify_template,nlp-89-20241028,no
nlp-90-20241028,38426205,PMC10902918,10.3389/fphys.2024.1358625,"GLP-2R is also expressed in the nodose ganglia of vagus nerve (Nelson et al., 2007; Amato et al., 2016), which contains the cell bodies of vagal afferent nerve fibers.",oscapify_template,nlp-90-20241028,no
nlp-91-20241028,38433844,PMC10905387,10.3389/fimmu.2024.1335387,"Note, however, that the lingual nerve is not exclusively composed of PSNs but also contains parasympathetic fibers from the facial nerve (226), introducing a potential bias in the interpretation of these results.",oscapify_template,nlp-91-20241028,no
nlp-92-20241028,38455968,PMC10914918,10.1186/s13358-024-00311-y,"The foramen and canal have a large diameter (Fig. 11B), so that we do not think that this canal could be for the chorda tympani ramus of the hyomandibular nerve, which may be expected to take such a course given it is a branch of the hyomandibular ramus of the facial nerve innervating the mandible.",oscapify_template,nlp-92-20241028,no
nlp-93-20241028,38444051,PMC10915130,10.14814/phy2.15965,"The superior laryngeal nerve (SLN) primarily provides sensory innervation of the larynx above the vocal cords and is part of the vagus nerve (Hishida et al., 1997; Yoshida et al., 2000).",oscapify_template,nlp-93-20241028,no
nlp-94-20241028,38346902,PMC10921256,10.1523/ENEURO.0393-23.2024,"Taste buds of the anterior and posterior tongue are innervated by the chorda tympani (CT) branch of CN VII and the glossopharyngeal nerve (GL), respectively.",oscapify_template,nlp-94-20241028,no
nlp-95-20241028,38384125,PMC10900260,10.12659/AJCR.942538,"A neurotrophic ulcer usually develops because of injury to the long ciliary nerves that originate from the nasociliary nerve, a branch of the trigeminal nerve.",oscapify_template,nlp-95-20241028,no
nlp-96-20241028,38420585,PMC10901094,10.1016/j.isci.2024.109137,"Cardiovagal neurons (CVNs) send axonal projections from hindbrain to cardiac ganglia through the vagus nerve to elicit cardioinhibitory (i.e., slowing of heart rate; HR) action at rest and during critical cardiorespiratory homeostatic reflexes.",oscapify_template,nlp-96-20241028,no
nlp-97-20241028,38468802,PMC10926389,10.3389/finsc.2022.957385,"The acoustic trachea bifurcates near the TM, with the anterior tracheal branch backing the anterior tympanic membrane, and similarly the posterior tympanic branch lies behind the posterior tympanic membrane.",oscapify_template,nlp-97-20241028,no
nlp-98-20241028,38468454,PMC10928335,10.1002/brb3.3452,Vagal nerve stimulation (VNS) electrically stimulates the tenth cranial nerve and provides afferent stimulation to the nucleus tractus solitarius.,oscapify_template,nlp-98-20241028,no
nlp-99-20241028,38475923,PMC10935935,10.1186/s42234-023-00138-x,"These complications may be related to branching of the vagus nerve, especially the superior and the (non-) recurrent inferior laryngeal nerve.",oscapify_template,nlp-99-20241028,no
nlp-100-20241028,38393672,PMC10944423,10.1007/s10286-024-01019-2,"Parasympathetic innervation of the heart is provided by preganglionic branches of the vagal nerve that synapse close to the target organ, e.g., in intrinsic cardiac ganglia situated in the myocardial wall and on the epicardial surface of the heart [1].",oscapify_template,nlp-100-20241028,no
nlp-101-20241028,38393672,PMC10944423,10.1007/s10286-024-01019-2,"In contrast, in another study, no direct connection between the SCG and the heart was found, but the SCG seemed to innervate the heart indirectly via the carotid nerve, which joins the nodose ganglion of the vagal nerve whose branches enter the arterial and venous pole of the heart [49].",oscapify_template,nlp-101-20241028,no
nlp-102-20241028,38393672,PMC10944423,10.1007/s10286-024-01019-2,"In contrast, in another study, no direct connection between the SCG and the heart was found, but the SCG seemed to innervate the heart indirectly via the carotid nerve, which joins the nodose ganglion of the vagal nerve whose branches enter the arterial and venous pole of the heart [49].",oscapify_template,nlp-102-20241028,no
nlp-103-20241028,38393672,PMC10944423,10.1007/s10286-024-01019-2,"In contrast, in another study, no direct connection between the SCG and the heart was found, but the SCG seemed to innervate the heart indirectly via the carotid nerve, which joins the nodose ganglion of the vagal nerve whose branches enter the arterial and venous pole of the heart [49].",oscapify_template,nlp-103-20241028,no
nlp-104-20241028,38393672,PMC10944423,10.1007/s10286-024-01019-2,"Although the SCG is a sympathetic chain ganglion, remarkably, a connection of the sympathetic SCG with the parasympathetic nodose ganglion has been observed in mice and rhesus monkeys [14, 32].",oscapify_template,nlp-104-20241028,no
nlp-105-20241028,38500948,PMC10946489,10.7759/cureus.54360,"The process of CI electrode positioning can prove to be extremely challenging, potentially harming the mastoid segment of the facial nerve, ossicles, and tympanic membrane [5].",oscapify_template,nlp-105-20241028,no
nlp-106-20241028,38504220,PMC10949710,10.1186/s12871-024-02490-0,"Another reason is the excess injected volume of local anesthetic that diffuses to the EBSLN and adjacent cervical vagus nerves and carotid sheath which is just closed to the cervical sympathetic trunk and the recurrent laryngeal nerve to cause corresponding symptoms of nerve reflex [4, 5].",oscapify_template,nlp-106-20241028,no
nlp-107-20241028,38510598,PMC10951755,10.1016/j.bas.2024.102770,"The symptoms were exophthalmos (56.4%; 22 patients), visual deficit (30.7%; 12 patients), impaired ocular motility (17.9%; 7 patients) and cranial nerve deficit (12.8%; 4 patients with trigeminal nerve deficit and 1 patient with facial nerve deficit).",oscapify_template,nlp-107-20241028,no
nlp-108-20241028,38516577,PMC10950158,10.1097/ONO.0000000000000019,"Other complications associated with stapes surgery are postoperative vertigo (1%–26%), tinnitus (2%–54%), temporary taste alteration due to manipulation of the chorda tympani nerve (2%–16%), perforation of the tympanic membrane, and facial nerve palsy (<1%) (6,15–24).",oscapify_template,nlp-108-20241028,no
nlp-109-20241028,38517997,PMC10956938,10.1097/MD.0000000000037511,"The facial nerve was found to be dehiscent over the tympanic segment and the upper part of the mastoid segment, with an aberrant route; the cholesteatoma pushed the facial nerve inferolaterally.",oscapify_template,nlp-109-20241028,no
nlp-110-20241028,38517997,PMC10956938,10.1097/MD.0000000000037511,"The facial nerve was found to be dehiscent over the tympanic segment and the upper part of the mastoid segment, with an aberrant route; the cholesteatoma pushed the facial nerve inferolaterally.",oscapify_template,nlp-110-20241028,no
nlp-111-20241028,38518055,PMC10957016,10.1097/MD.0000000000037558,"In this study, we summarize the clinical data and treatment of one such case, in which a 64-year-old female patient with PAL developed symptoms of NL, such as facial nerve, oculomotor nerve, and lumbar plexus nerve damage.",oscapify_template,nlp-111-20241028,no
nlp-112-20241028,38524057,PMC10960733,10.7759/cureus.54719,"Plain MRI showed no abnormalities in the brain.Contrast-enhanced MRI performed on day 7 after onset showed enhanced intensity of bilateral labyrinthine and tympanic segments of the facial nerve, including the geniculate ganglions.",oscapify_template,nlp-112-20241028,no
